代號,名稱,年月日,100-200 張(比率),200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率)
1796,金穎生技,2023/01/13,7.71,9.98,6.48,3.28,4.33,49.47
1799,易威,2023/01/13,3.11,3.96,1.36,1.26,0,71.79
1802,台玻,2023/01/13,1.17,1.18,0.88,0.76,0.77,83.99
1805,寶徠,2023/01/13,3.23,3.18,1.4,0,4.46,74
1806,冠軍,2023/01/13,2.24,2.14,1.62,0.53,0.84,69.35
1808,潤隆,2023/01/13,1.88,1.71,2.1,1.5,0.74,85.41
1809,中釉,2023/01/13,3.94,4.65,2.69,2.1,2.74,46.76
1810,和成,2023/01/13,3.52,3.09,2.84,2.23,2.89,59.8
1813,寶利徠,2023/01/13,6.21,11.95,4.74,5.84,2.05,36.92
1815,富喬,2023/01/13,7.38,5.98,1.77,2.03,1.39,26.68
1817,凱撒衛,2023/01/13,6.71,11.63,2.67,3.92,1.37,47.96
1903,士紙,2023/01/13,3.11,3.02,3.45,0.54,2.13,79.09
1904,正隆,2023/01/13,3.79,2.64,1.9,0.8,1.31,63.57
1905,華紙,2023/01/13,1.77,1.24,0.66,0.58,0.42,71.91
1906,寶隆,2023/01/13,3.39,4.28,3.79,1.7,1.83,67.37
1907,永豐餘,2023/01/13,1.88,2.25,1.27,0.65,1.02,78.3
1909,榮成,2023/01/13,3.11,2.76,1.62,1.03,0.66,65.27
2002,中鋼,2023/01/13,3.38,3.46,1.58,0.68,0.49,61.82
2006,東和鋼鐵,2023/01/13,3.06,2.7,1.3,1.21,1.17,68.51
2007,燁興,2023/01/13,1.11,0.84,0.27,0.13,0.32,75.88
2008,高興昌,2023/01/13,0.91,0.85,0.78,0,0.99,86.94
2009,第一銅,2023/01/13,1.45,1.21,0.97,0.2,0.22,55.49
2010,春源,2023/01/13,2.68,2.73,2.17,1.47,0.82,62.05
2012,春雨,2023/01/13,1.77,3.37,4.79,1.83,1.94,73.8
2013,中鋼構,2023/01/13,1,1.65,1.01,0.68,0,77.63
2014,中鴻,2023/01/13,2.37,1.61,0.81,0.69,0.76,53.91
2015,豐興,2023/01/13,1.61,3.45,2.25,1.79,2.39,81.93
2017,官田鋼,2023/01/13,2.8,1.71,0.82,0.73,0.47,60.54
2020,美亞,2023/01/13,3.13,2.45,3.89,1.97,1.63,50.75
2022,聚亨,2023/01/13,4.54,3.42,1.24,0.58,0.38,26.62
2023,燁輝,2023/01/13,2.35,1.68,1.11,0.47,0.4,69.3
2024,志聯,2023/01/13,2.27,1.93,1.5,0.65,0,73.42
2025,千興,2023/01/13,8.72,6.6,2.73,2.05,2.86,35.55
2027,大成鋼,2023/01/13,3.43,3.43,2.1,1.18,0.76,59.06
2028,威致,2023/01/13,1.32,1.06,0.89,0.7,0.24,78.64
2029,盛餘,2023/01/13,2.22,2.61,0.74,0.83,0.81,68.75
2030,彰源,2023/01/13,4.56,3.84,2.49,1.22,0.87,32.79
2031,新光鋼,2023/01/13,4.11,4.51,2.9,1.56,1.73,46.27
2032,新鋼,2023/01/13,3.98,3.13,3.85,3.17,0,46.64
2033,佳大,2023/01/13,2.91,3.12,1.36,1.93,6.9,53.46
2034,允強,2023/01/13,4.41,3.67,2.81,1.49,0.77,42.13
2035,唐榮,2023/01/13,0.29,0.25,0,0.21,0,96.39
2038,海光,2023/01/13,2.92,2.63,0.96,0.78,0.5,48.42
2049,上銀,2023/01/13,3.32,4.32,4.72,3.73,3.05,53.95
2059,川湖,2023/01/13,5.32,7.01,4.08,2.07,4.74,61.71
2061,風青,2023/01/13,6.87,11.72,3.25,4.07,2.14,44.71
2062,橋椿,2023/01/13,4.61,5.98,2.53,2.45,2.73,57.44
2063,世鎧,2023/01/13,7.44,9.49,7.39,10.7,5.15,37.11
2064,晉椿,2023/01/13,2.17,3.87,7.03,0,0,75.14
2065,世豐,2023/01/13,6.81,3.3,2.89,3.95,7.05,32.35
2066,世德,2023/01/13,5.47,3.78,0,5.34,0,63.44
2067,嘉鋼,2023/01/13,8.08,9.17,5.27,4.79,1.81,51.61
2069,運錩,2023/01/13,3.62,4.01,1.11,2.23,0.51,50.95
2070,精湛,2023/01/13,2.15,6.07,3.02,2.17,2.51,67.61
2101,南港,2023/01/13,4.55,3.72,2.09,1.24,1.65,70.17
2102,泰豐,2023/01/13,3.71,3.14,2.13,1.42,1.12,70.57
2103,台橡,2023/01/13,3.36,3.08,1.82,0.65,0.68,62.17
2104,國際中橡,2023/01/13,6.2,5.22,3.55,1.25,1.46,42.87
2105,正新,2023/01/13,2.06,1.79,1.25,1.09,0.85,77.35
2106,建大,2023/01/13,2.3,2.46,1.36,0.79,1.18,78.9
2107,厚生,2023/01/13,4.86,4.67,2.2,0.61,1.06,50.06
2108,南帝,2023/01/13,2.37,2.57,1.58,2.1,2.03,65.44
2109,華豐,2023/01/13,4.55,4.8,3.5,3,2.25,65.37
2114,鑫永銓,2023/01/13,5.08,5.62,4.14,1.9,0,57.63
2115,六暉-KY,2023/01/13,2.59,4.72,5.97,1.38,2.63,65.81
2201,裕隆,2023/01/13,3.12,3.39,2.18,1.8,0.61,69.68
2204,中華,2023/01/13,2.63,2.95,1.6,1.44,1.12,71.66
2206,三陽工業,2023/01/13,2.05,2.96,1.53,1.71,0.78,77.17
2207,和泰車,2023/01/13,1.83,2.84,3.46,2.93,1.7,83.68
2208,台船,2023/01/13,3.99,3.5,1.79,1.48,0.65,51.19
2211,長榮鋼,2023/01/13,1.23,2.08,1.16,0.5,0.45,83.48
2221,大甲,2023/01/13,3.61,3.48,1.92,0,0,64.75
2227,裕日車,2023/01/13,0.35,0.44,0.14,0.46,0.27,93.61
2228,劍麟,2023/01/13,3.73,3.78,0,3.54,1.22,54.9
2230,泰茂,2023/01/13,8.03,10.59,7.29,9.01,13.59,25.95
2231,為升,2023/01/13,3.26,4.61,2.72,1.66,1.41,59.53
2233,宇隆,2023/01/13,5.12,4.86,2.22,1.17,0,45.91
2235,謚源,2023/01/13,1.83,0.73,1.39,0,2.51,75.95
2236,百達-KY,2023/01/13,4.12,4.86,5.47,1.32,0,65.51
2239,英利-KY,2023/01/13,3.03,3.47,1.61,0.54,0.73,78.17
2241,艾姆勒,2023/01/13,6.23,3.62,5.02,6.15,1.98,49.13
2243,宏旭-KY,2023/01/13,4.13,4.09,2.28,1.31,4.22,63.4
2247,汎德永業,2023/01/13,2.65,1.06,1.15,0,3.33,74.1
2250,IKKA-KY,2023/01/13,2.81,5.23,3.41,0,0,61.3
2301,光寶科,2023/01/13,1.39,2.35,2.68,1.69,2.17,79.45
2302,麗正,2023/01/13,2.51,2.36,2.09,1.26,1,64.8
2303,聯電,2023/01/13,2.79,2.31,1.19,0.75,0.73,59.56
2305,全友,2023/01/13,1.86,1.15,0.77,0.31,0.41,74.06
2308,台達電,2023/01/13,1.96,3.16,2.48,1.74,1.97,81.3
2312,金寶,2023/01/13,4,4.03,2.01,1.35,1.23,59.14
2313,華通,2023/01/13,2.82,2.79,2.14,1.93,1.96,65.12
2314,台揚,2023/01/13,5.37,3.35,2.15,1.67,1.44,25.46
2316,楠梓電,2023/01/13,2.2,3.03,2.2,1.92,2.52,49.01
2317,鴻海,2023/01/13,2.37,1.9,1,0.81,0.63,67.94
2321,東訊,2023/01/13,7.9,5.73,0.9,1.39,2.18,34.81
2323,中環,2023/01/13,6.15,4.92,2.91,1.04,1.14,34.49
2324,仁寶,2023/01/13,2.49,2.31,1.49,1.21,0.9,67.16
2327,國巨,2023/01/13,3.64,5.86,3.29,3.52,3.63,49.67
2328,廣宇,2023/01/13,3.54,3.02,1.81,0.92,1.9,38.09
2329,華泰,2023/01/13,4.84,4.28,2.38,0.45,1.08,40.38
2330,台積電,2023/01/13,1.05,1.25,0.87,0.82,0.77,85.78
2331,精英,2023/01/13,2.78,3.66,1.65,2.61,2.27,61.93
2332,友訊,2023/01/13,6.11,5.88,2.8,1.13,1.54,39.9
2337,旺宏,2023/01/13,4.47,4.31,2.24,1.59,1.35,42.66
2338,光罩,2023/01/13,2.82,2.95,5.54,1.92,0.67,49.41
2340,台亞,2023/01/13,4.14,4.31,1.56,2.43,0.61,36.23
2342,茂矽,2023/01/13,4.02,2.55,1.49,0.91,1.15,40.73
2344,華邦電,2023/01/13,2.91,2.5,1.57,1.22,0.95,60.51
2345,智邦,2023/01/13,4.53,6.83,4.56,4.26,3.14,66.37
2347,聯強,2023/01/13,2.02,2.61,1.83,1.09,1.3,80.12
2348,海悅,2023/01/13,1.77,2.05,2.39,3.39,0.82,73.48
2349,錸德,2023/01/13,9.63,8.64,4.24,2.44,2.91,16.62
2351,順德,2023/01/13,3.68,4.36,4.95,2.92,0.98,65.4
2352,佳世達,2023/01/13,5.03,4.49,2.73,1.57,1.5,54.71
2353,宏碁,2023/01/13,4.74,3.7,2.13,1.62,1.11,47.46
2354,鴻準,2023/01/13,2.47,2.01,1.21,0.89,0.73,53.01
2355,敬鵬,2023/01/13,4.67,4.65,2.52,2.66,2.99,43.67
2356,英業達,2023/01/13,1.57,1.7,1.12,0.79,0.85,80.54
2357,華碩,2023/01/13,3.36,3.7,3.73,2.51,2.07,61.54
2358,廷鑫,2023/01/13,7,4.78,2.28,0.45,2.89,25.5
2359,所羅門,2023/01/13,4.79,7.05,4.12,1.26,0.58,41.48
2360,致茂,2023/01/13,4.01,6.4,4.83,5.03,2.68,71.07
