,年度,季別,公司代號,公司名稱,股本,股本分級
982,112,1,4722,國精化,1000092,4
983,112,1,4726,永昕,2055825,3
984,112,1,4728,雙美,544630,5
985,112,1,4729,熒茂,777268,5
986,112,1,4735,豪展,367688,5
987,112,1,4736,泰博,952905,5
988,112,1,4737,華廣,612556,5
989,112,1,4739,康普,1070293,4
990,112,1,4741,泓瀚,328416,5
991,112,1,4743,合一,3917729,3
992,112,1,4744,皇將,520366,5
993,112,1,4745,合富-KY,774496,5
994,112,1,4746,台耀,1202560,4
995,112,1,4747,強生製藥,300188,5
996,112,1,4754,國碳科,275302,5
997,112,1,4755,三福化,1007060,4
998,112,1,4760,勤凱科技,318009,5
999,112,1,4763,材料-KY,713329,5
1000,112,1,4764,雙鍵,855421,5
1001,112,1,4766,南寶,1205707,4
1002,112,1,4767,誠泰科技,314150,5
1003,112,1,4768,晶呈科技,369266,5
1004,112,1,4770,上品,790370,5
1005,112,1,4804,大略-KY,453479,5
1006,112,1,4807,日成-KY,383960,5
1007,112,1,4903,聯光通,1040515,4
1008,112,1,4904,遠傳,32585008,1
1009,112,1,4905,台聯電,292600,5
1010,112,1,4906,正文,3944745,3
1011,112,1,4907,富宇,1181458,4
1012,112,1,4908,前鼎,782169,5
1013,112,1,4909,新復興,933568,5
